review_id,date,author,rating,item,aspect,aspect_detail,opinion,sentiment_score,aspect_sentiment,derived_sentiment,is_service_killer,visit_time_ai,original_text,owner_response
rev_0,02/07/2026 02:59:00,Shannon H,5,General Food,Value,so good,very good,1.0,Positive,Positive,False,Closing,I’m so excited for this restaurant to open!! I’ve had it in Hawaii and Japan and it’s so good! Can’t wait!,
rev_0,02/07/2026 02:59:00,Shannon H,5,General Food,Service,I’m so excited,very excited,1.0,Positive,Positive,False,Opening,I’m so excited for this restaurant to open!! I’ve had it in Hawaii and Japan and it’s so good! Can’t wait!,
rev_1,03/28/2026 16:53:17,Paul Chan,5,General Food,Value,Taste similar to food during my Japan trip,very good,0.9,Positive,Positive,False,Mid-day,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place.",
rev_1,03/28/2026 16:53:17,Paul Chan,5,General Food,Value,Price is right,good price,0.9,Positive,Positive,False,Mid-day,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place.",
rev_1,03/28/2026 16:53:17,Paul Chan,5,General Food,Yusen & Prep,food quality is almost the same as I've taste during my Japan trip,high quality,0.9,Positive,Positive,False,Mid-day,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place.",
rev_1,03/28/2026 16:53:17,Paul Chan,5,General Food,Service,Strongly recommend this place,strongly recommended,0.9,Positive,Positive,False,Mid-day,"4.8/5.0 Taste similar to food during my Japan trip.
Price is right and food quality is almost the same as I've taste during my Japan trip. Strongly recommend this place.",
rev_2,03/28/2026 09:56:16,Lilian,4,Udon Noodles,Seimen,Udon texture was a bit too dense and not bouncy,too dense,-0.5,Negative,Negative,False,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,Beef Udon,Yusen & Prep,The beef on the udon was delicious though,very delicious,0.8,Positive,Positive,False,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,Shrimp Tempura,Tempura,Shrimp tempura was crispy and light,crispy and light,0.7,Positive,Positive,False,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,Shrimp Tempura,Tempura,but had a lot of batter,too much batter,-0.3,Negative,Negative,False,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,General Food,Value,it was good but not worth the 1 hour 10 mins,not worth wait,-0.6,Negative,Negative,True,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,General Food,Value,Overall not bad for $20,fair price,0.4,Positive,Positive,False,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_2,03/28/2026 09:56:16,Lilian,4,General Service,Service,only worth coming if there’s no line,long wait,-0.7,Negative,Negative,True,Closing,"A fun udon spot to try out, cafeteria style! Udon is made fresh on onsite. I got the beef udon with 2 shrimp tempura, it was good but not worth the 1 hour 10 mins on Saturday night at 7pm. Udon texture was a bit too dense and not bouncy. The beef on the udon was delicious though! Shrimp tempura was crispy and light, but had a lot of batter. Just stick to one piece. Overall not bad for $20 but only worth coming if there’s no line.",
rev_3,03/28/2026 06:38:47,J,5,Udon Noodles,Seimen,Udon noodles were soft and chewy,soft and chewy,0.8,Positive,Positive,False,Opening,"Loved it! Udon noodles were soft and chewy, they were so good. The tempura was also really fresh and delicious. The squid tempura, in particular, was super tender, moist, and flavorful! The sauces were selfserve, which was a bit inconvenient, but being able to choose different ones and dip the toppings actually made it even better.",
